I[10A],Ue[V]
3.661,3.425
3.661,3.425
3.661,3.465
3.622,3.425
3.661,3.465
3.661,3.465
3.661,3.425
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.346
3.661,3.504
3.661,3.504
3.622,3.425
3.661,3.504
3.661,3.425
3.661,3.465
3.661,3.465
3.661,3.504
3.661,3.504
3.661,3.425
3.661,3.425
3.661,3.425
3.661,3.465
3.622,3.465
3.661,3.425
3.661,3.425
3.661,3.504
3.622,3.504
3.661,3.504
3.661,3.504
3.661,3.465
3.661,3.504
3.661,3.504
3.622,3.504
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.465
3.661,3.425
3.661,3.465
3.622,3.504
3.661,3.504
3.661,3.425
3.701,3.504
3.661,3.504
3.622,3.504
3.661,3.504
3.661,3.504
3.701,3.425
3.661,3.465
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.465
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.425
3.661,3.465
3.661,3.465
3.661,3.504
3.661,3.425
3.661,3.425
3.661,3.465
3.661,3.504
3.622,3.425
3.661,3.465
3.661,3.425
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.504
3.583,3.543
3.661,3.504
3.661,3.425
3.661,3.504
3.622,3.504
3.622,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.425
3.661,3.465
3.622,3.504
3.661,3.543
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.465
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.425
3.661,3.465
3.661,3.504
3.661,3.504
3.661,3.504
3.701,3.425
3.661,3.425
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.465
3.661,3.425
3.661,3.504
3.661,3.583
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.465
3.661,3.465
3.661,3.504
3.622,3.504
3.661,3.504
3.661,3.465
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.465
3.661,3.504
3.661,3.504
3.661,3.465
3.661,3.504
3.661,3.425
3.661,3.465
3.661,3.425
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.425
3.661,3.425
3.622,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.465
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.465
3.661,3.425
3.661,3.504
3.622,3.661
3.661,3.465
3.661,3.425
3.701,3.504
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.465
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.583
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.622,3.465
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.465
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.465
3.661,3.465
3.622,3.425
3.661,3.543
3.661,3.465
3.661,3.425
3.701,3.465
3.661,3.465
3.661,3.504
3.622,3.504
3.661,3.504
3.661,3.425
3.661,3.504
3.622,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.622,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.622,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.622,3.543
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.504
3.622,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.465
3.661,3.504
3.622,3.504
3.661,3.465
3.661,3.543
3.661,3.504
3.661,3.504
3.622,3.543
3.661,3.504
3.661,3.425
3.661,3.504
3.622,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.465
3.661,3.504
3.622,3.543
3.661,3.543
3.661,3.504
3.661,3.425
3.701,3.504
3.661,3.465
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.622,3.543
3.661,3.504
3.661,3.465
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.465
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.504
3.622,3.543
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.543
3.661,3.465
3.661,3.504
3.661,3.425
3.661,3.504
3.661,3.543
3.622,3.543
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.543
3.622,3.583
3.622,3.543
3.661,3.543
3.661,3.504
3.661,3.583
3.622,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.465
3.661,3.504
3.661,3.504
3.622,3.504
3.661,3.543
3.661,3.386
3.661,3.504
3.661,3.543
3.622,3.425
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.661
3.661,3.504
3.661,3.465
3.661,3.504
3.661,3.504
3.622,3.425
3.661,3.504
3.661,3.425
3.661,3.465
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.583
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.583
3.661,3.504
3.661,3.504
3.622,3.465
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.465
3.661,3.504
3.661,3.543
3.622,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.622,3.583
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.583
3.661,3.543
3.661,3.583
3.661,3.543
3.661,3.504
3.622,3.504
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.543
3.622,3.583
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.622,3.543
3.661,3.504
3.661,3.543
3.701,3.504
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.622,3.543
3.661,3.543
3.661,3.425
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.622,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.583
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.583
3.661,3.543
3.661,3.543
3.661,3.583
3.661,3.504
3.661,3.583
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.583
3.661,3.504
3.701,3.504
3.661,3.504
3.661,3.543
3.661,3.583
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.465
3.661,3.504
3.661,3.543
3.622,3.583
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.465
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.583
3.661,3.504
3.661,3.543
3.701,3.543
3.661,3.465
3.661,3.583
3.661,3.583
3.661,3.543
3.701,3.543
3.661,3.504
3.661,3.583
3.661,3.583
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.543
3.622,3.425
3.661,3.543
3.661,3.425
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.622,3.701
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.583
3.622,3.425
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.504
3.622,3.465
3.661,3.504
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.583
3.622,3.543
3.661,3.465
3.661,3.543
3.661,3.543
3.622,3.543
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.583
3.622,3.543
3.661,3.543
3.661,3.504
3.701,3.543
3.661,3.543
3.661,3.583
3.661,3.543
3.661,3.583
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.583
3.661,3.504
3.661,3.543
3.661,3.543
3.622,3.543
3.661,3.504
3.701,3.504
3.661,3.543
3.661,3.543
3.622,3.543
3.661,3.583
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.504
3.701,3.543
3.661,3.543
3.661,3.504
3.661,3.504
3.701,3.543
3.661,3.504
3.661,3.583
3.661,3.504
3.701,3.504
3.661,3.504
3.661,3.504
3.622,3.543
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.583
3.661,3.583
3.661,3.543
3.661,3.504
3.661,3.583
3.661,3.583
3.661,3.543
3.661,3.583
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.583
3.622,3.583
3.661,3.543
3.661,3.504
3.661,3.543
3.622,3.543
3.622,3.583
3.661,3.543
3.701,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.504
3.701,3.504
3.661,3.543
3.661,3.543
3.661,3.583
3.661,3.504
3.661,3.504
3.661,3.543
3.661,3.543
3.661,3.583
3.661,3.543
3.661,3.583
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.583
3.661,3.583
3.661,3.543
3.661,3.583
3.661,3.543
3.661,3.583
3.661,3.583
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.622
3.622,3.543
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.583
3.661,3.583
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.622
3.661,3.583
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.583
3.661,3.504
3.661,3.543
3.701,3.543
3.661,3.543
3.661,3.543
3.661,3.543
3.661,3.504
3.661,3.504
3.661,3.504
3.661,3.504
3.622,3.583
3.661,3.543
3.661,3.504
3.661,3.543
3.661,3.543
3.622,3.543
3.465,1.811
3.228,1.102
3.110,0.866
2.795,1.614
2.559,1.299
2.441,1.339
2.165,1.693
1.969,1.457
1.850,1.693
1.654,1.850
1.614,1.693
1.457,1.929
1.299,1.929
1.220,1.969
1.142,2.126
1.024,1.929
0.984,2.008
0.906,2.165
0.787,2.283
0.669,2.205
0.669,2.165
0.591,2.205
0.512,2.126
0.394,2.165
0.354,2.244
0.315,2.126
0.276,2.165
0.197,2.165
0.118,2.244
0.039,2.323
0.039,2.283
0.000,2.244
-0.039,2.283
-0.118,2.323
-0.197,2.362
-0.197,2.402
-0.236,2.323
-0.276,2.402
-0.315,2.441
-0.354,2.480
-0.394,2.480
-0.394,2.441
-0.394,2.441
-0.472,2.402
-0.512,2.480
-0.551,2.441
-0.551,2.402
-0.551,2.441
-0.591,2.480
-0.630,2.480
-0.630,2.480
-0.630,2.480
-0.669,2.480
-0.709,2.520
-0.709,2.480
-0.748,2.480
-0.709,2.480
-0.709,2.480
-0.748,2.520
-0.787,2.598
-0.787,2.559
-0.787,2.520
-0.827,2.520
-0.827,2.559
-0.866,2.559
-0.866,2.559
-0.866,2.559
-0.866,2.559
-0.906,2.559
-0.906,2.598
-0.906,2.559
-0.906,2.559
-0.906,2.480
-0.906,2.559
-0.945,2.598
-0.945,2.598
-0.906,2.559
-0.906,2.559
-0.945,2.598
-0.984,2.598
-0.984,2.598
-0.984,2.598
-0.945,2.559
-0.984,2.638
-0.984,2.638
-0.984,2.598
-0.984,2.559
-0.984,2.559
-0.984,2.598
-1.024,2.638
-1.024,2.598
-0.984,2.559
-0.984,2.559
-1.024,2.598
-1.063,2.638
-1.024,2.638
-1.063,2.559
-1.024,2.598
-1.024,2.598
-1.063,2.638
-1.063,2.638
-1.024,2.598
-1.024,2.598
-1.024,2.638
-1.063,2.638
-1.063,2.638
-1.063,2.598
-1.063,2.638
-1.063,2.638
-1.063,2.638
-1.063,2.638
-1.063,2.638
-1.063,2.598
-1.063,2.638
-1.063,2.638
-1.063,2.638
-1.063,2.598
-1.063,2.598
-1.063,2.598
-1.142,2.638
-1.102,2.638
-1.063,2.638
-1.063,2.638
-1.102,2.638
-1.142,2.638
-1.102,2.638
-1.063,2.598
-1.063,2.598
-1.102,2.638
-1.102,2.638
-1.102,2.638
-1.063,2.638
-1.063,2.598
-1.063,2.638
-1.142,2.638
-1.102,2.638
-1.063,2.598
-1.063,2.598
-1.102,2.638
-1.142,2.638
-1.102,2.638
-1.102,2.638
-1.063,2.638
-1.063,2.638
-1.142,2.638
-1.142,2.638
-1.102,2.638
-1.063,2.598
-1.102,2.638
-1.142,2.638
-1.142,2.638
-1.102,2.638
-1.102,2.598
-1.102,2.638
-1.142,2.638
-1.142,2.638
-1.102,2.598
-1.063,2.598
-1.102,2.638
-1.142,2.677
-1.142,2.638
-1.102,2.638
-1.102,2.638
-1.142,2.638
-1.142,2.638
-1.142,2.638
-1.142,2.598
-1.102,2.638
-1.142,2.638
-1.181,2.638
-1.181,2.638
-1.142,2.638
-1.102,2.598
-1.102,2.598
-1.142,2.638
-1.181,2.638
-1.102,2.638
-1.102,2.638
-1.142,2.638
-1.142,2.638
-1.181,2.638
-1.142,2.638
-1.102,2.598
-1.142,2.638
-1.181,2.638
-1.181,2.638
-1.142,2.598
-1.102,2.598
-1.102,2.559
-1.142,2.638
-1.142,2.638
-1.142,2.598
-1.142,2.559
-1.142,2.638
-1.142,2.638
-1.181,2.638
-1.142,2.638
-1.102,2.598
-1.142,2.638
-1.181,2.638
-1.181,2.638
-1.181,2.638
-1.102,2.598
-1.142,2.638
-1.181,2.638
-1.181,2.677
-1.142,2.638
-1.102,2.598
-1.142,2.638
-1.181,2.638
-1.181,2.677
-1.142,2.638
-1.102,2.638
-1.142,2.638
-1.181,2.638
-1.181,2.638
-1.142,2.638
-1.102,2.598
-1.142,2.638
-1.181,2.638
-1.181,2.638
-1.142,2.598
-1.142,2.598
-1.142,2.638
-1.181,2.638
-1.181,2.638
-1.181,2.598
-1.102,2.598
-1.142,2.638
-1.181,2.638
-1.181,2.717
-1.142,2.638
-1.142,2.598
-1.181,2.638
-1.181,2.638
-1.181,2.638
-1.181,2.598
-1.102,2.598
-1.142,2.638
-1.181,2.638
-1.181,2.638
-1.181,2.598
-1.102,2.559
-1.142,2.598
-1.181,2.638
-1.181,2.638
-1.181,2.598
-1.142,2.559
-1.142,2.638
-1.181,2.638
-1.220,2.677
-1.181,2.638
-1.142,2.559
-1.181,2.638
-1.181,2.638
-1.181,2.638
-1.181,2.598
-1.142,2.598
-1.142,2.638
-1.181,2.638
-1.181,2.638
-1.181,2.638
-1.142,2.598
-1.142,2.598
-1.181,2.638
-1.181,2.638
-1.181,2.598
-1.142,2.598
-1.142,2.598
-1.181,2.638
-1.181,2.638
-1.181,2.638
-1.142,2.559
-1.142,2.598
-1.181,2.638
-1.181,2.638
-1.181,2.638
-1.142,2.598
-1.142,2.638
-1.181,2.638
-1.181,2.638
-1.181,2.638
-1.142,2.598
-1.142,2.638
-1.181,2.638
-1.181,2.638
-1.181,2.638
-1.102,2.598
-1.142,2.598
-1.181,2.638
-1.181,2.638
-1.181,2.598
-1.142,2.598
-1.142,2.598
-1.181,2.598
-1.181,2.638
-1.181,2.598
-1.142,2.598
-1.181,2.598
-1.181,2.677
-1.220,2.638
-1.181,2.638
-1.142,2.638
-1.142,2.638
-1.181,2.638
-1.181,2.638
-1.181,2.638
-1.142,2.598
-1.142,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.638
-1.142,2.598
-1.142,2.598
-1.181,2.638
-1.181,2.638
-1.181,2.638
-1.142,2.559
-1.142,2.598
-1.181,2.677
-1.181,2.638
-1.181,2.638
-1.142,2.598
-1.181,2.598
-1.181,2.638
-1.181,2.677
-1.181,2.638
-1.142,2.598
-1.142,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.638
-1.142,2.598
-1.142,2.598
-1.181,2.638
-1.181,2.677
-1.181,2.638
-1.142,2.598
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.181,2.598
-1.142,2.559
-1.142,2.559
-1.181,2.598
-1.181,2.638
-1.181,2.638
-1.142,2.559
-1.142,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.638
-1.142,2.598
-1.142,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.638
-1.181,2.559
-1.142,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.638
-1.181,2.598
-1.142,2.559
-1.181,2.638
-1.220,2.638
-1.181,2.638
-1.142,2.598
-1.142,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.638
-1.142,2.598
-1.142,2.559
-1.181,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.598
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.220,2.638
-1.181,2.598
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.220,2.638
-1.142,2.559
-1.142,2.559
-1.181,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.598
-1.142,2.559
-1.142,2.598
-1.181,2.638
-1.181,2.598
-1.181,2.559
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.220,2.638
-1.181,2.598
-1.142,2.598
-1.142,2.598
-1.220,2.638
-1.181,2.638
-1.181,2.598
-1.142,2.559
-1.142,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.598
-1.142,2.598
-1.181,2.559
-1.181,2.638
-1.181,2.638
-1.181,2.598
-1.142,2.559
-1.181,2.598
-1.181,2.638
-1.181,2.638
-1.181,2.598
-1.142,2.559
-1.181,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.598
-1.181,2.559
-1.142,2.559
-1.181,2.638
-1.220,2.638
-1.181,2.598
-1.142,2.559
-1.142,2.559
-1.181,2.638
-1.220,2.638
-1.181,2.598
-1.142,2.559
-1.142,2.559
-1.181,2.638
-1.220,2.598
-1.181,2.598
-1.142,2.559
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.181,2.598
-1.142,2.559
-1.142,2.559
-1.181,2.638
-1.220,2.638
-1.220,2.598
-1.142,2.598
-1.142,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.638
-1.142,2.559
-1.142,2.598
-1.181,2.598
-1.220,2.638
-1.181,2.598
-1.142,2.559
-1.142,2.559
-1.181,2.638
-1.220,2.638
-1.181,2.598
-1.142,2.559
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.181,2.598
-1.142,2.559
-1.142,2.559
-1.181,2.638
-1.220,2.638
-1.181,2.598
-1.142,2.559
-1.142,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.638
-1.142,2.559
-1.142,2.559
-1.181,2.598
-1.181,2.598
-1.181,2.598
-1.181,2.520
-1.142,2.480
-1.181,2.559
-1.220,2.598
-1.181,2.598
-1.181,2.559
-1.142,2.559
-1.181,2.638
-1.220,2.638
-1.220,2.638
-1.181,2.559
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.181,2.638
-1.181,2.520
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.181,2.638
-1.181,2.598
-1.102,2.559
-1.181,2.598
-1.181,2.638
-1.181,2.598
-1.142,2.559
-1.102,2.559
-1.181,2.559
-1.220,2.638
-1.220,2.638
-1.181,2.559
-1.142,2.559
-1.142,2.559
-1.181,2.638
-1.220,2.638
-1.142,2.598
-1.142,2.559
-1.181,2.598
-1.181,2.638
-1.181,2.638
-1.181,2.559
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.181,2.598
-1.181,2.598
-1.102,2.480
-1.181,2.598
-1.220,2.598
-1.181,2.638
-1.181,2.559
-1.142,2.559
-1.142,2.559
-1.220,2.598
-1.220,2.638
-1.181,2.559
-1.102,2.520
-1.142,2.559
-1.181,2.638
-1.220,2.598
-1.181,2.559
-1.102,2.520
-1.181,2.559
-1.220,2.638
-1.220,2.598
-1.181,2.559
-1.142,2.559
-1.181,2.598
-1.181,2.638
-1.220,2.638
-1.181,2.559
-1.142,2.559
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.181,2.559
-1.142,2.520
-1.142,2.559
-1.181,2.638
-1.220,2.598
-1.181,2.559
-1.102,2.559
-1.142,2.559
-1.181,2.638
-1.220,2.638
-1.181,2.598
-1.142,2.480
-1.142,2.520
-1.181,2.598
-1.220,2.598
-1.181,2.559
-1.142,2.520
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.181,2.559
-1.142,2.520
-1.142,2.559
-1.181,2.598
-1.181,2.598
-1.181,2.559
-1.142,2.520
-1.102,2.520
-1.181,2.559
-1.220,2.638
-1.181,2.559
-1.142,2.520
-1.142,2.559
-1.181,2.598
-1.181,2.598
-1.181,2.598
-1.142,2.520
-1.142,2.480
-1.181,2.598
-1.220,2.638
-1.181,2.559
-1.142,2.559
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.181,2.598
-1.142,2.559
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.220,2.598
-1.142,2.520
-1.142,2.520
-1.181,2.598
-1.220,2.598
-1.220,2.559
-1.142,2.480
-1.142,2.559
-1.181,2.559
-1.220,2.598
-1.181,2.559
-1.142,2.559
-1.142,2.480
-1.181,2.559
-1.220,2.638
-1.220,2.559
-1.181,2.520
-1.181,2.559
-1.181,2.559
-1.181,2.638
-1.220,2.598
-1.181,2.559
-1.142,2.559
-1.181,2.559
-1.181,2.598
-1.220,2.598
-1.142,2.480
-1.102,2.480
-1.142,2.559
-1.181,2.598
-1.220,2.559
-1.142,2.480
-1.142,2.480
-1.142,2.323
-1.181,2.598
-1.220,2.598
-1.181,2.559
-1.142,2.480
-1.142,2.598
-1.181,2.638
-1.220,2.598
-1.142,2.559
-1.142,2.520
-1.181,2.598
-1.181,2.638
-1.181,2.598
-1.181,2.559
-1.142,2.520
-1.181,2.559
-1.181,2.598
-1.220,2.598
-1.181,2.559
-1.142,2.559
-1.142,2.520
-1.181,2.598
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.181,2.559
-1.220,2.598
-1.220,2.559
-1.142,2.559
-1.142,2.520
-1.142,2.559
-1.220,2.598
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.142,2.559
-1.181,2.638
-1.181,2.598
-1.181,2.520
-1.142,2.480
-1.142,2.520
-1.220,2.559
-1.181,2.559
-1.181,2.520
-1.142,2.480
-1.142,2.520
-1.181,2.559
-1.181,2.559
-1.181,2.559
-1.142,2.480
-1.181,2.559
-1.181,2.598
-1.220,2.638
-1.181,2.559
-1.142,2.480
-1.142,2.559
-1.181,2.598
-1.220,2.638
-1.181,2.559
-1.142,2.480
-1.181,2.559
-1.181,2.598
-1.181,2.598
-1.181,2.480
-1.142,2.480
-1.142,2.520
-1.220,2.598
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.102,2.480
-1.181,2.598
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.142,2.520
-1.181,2.559
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.102,2.559
-1.181,2.598
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.142,2.480
-1.181,2.598
-1.220,2.559
-1.181,2.559
-1.142,2.480
-1.142,2.480
-1.181,2.598
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.142,2.480
-1.181,2.559
-1.181,2.598
-1.181,2.559
-1.102,2.520
-1.142,2.480
-1.181,2.559
-1.220,2.598
-1.181,2.559
-1.102,2.480
-1.142,2.559
-1.181,2.598
-1.181,2.598
-1.181,2.559
-1.102,2.480
-1.142,2.520
-1.181,2.559
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.102,2.520
-1.181,2.559
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.142,2.559
-1.181,2.598
-1.181,2.598
-1.181,2.559
-1.142,2.520
-1.102,2.480
-1.181,2.520
-1.220,2.598
-1.181,2.559
-1.142,2.480
-1.102,2.480
-1.181,2.559
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.142,2.559
-1.181,2.559
-1.181,2.598
-1.181,2.559
-1.142,2.520
-1.142,2.480
-1.181,2.559
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.142,2.480
-1.142,2.520
-1.220,2.559
-1.181,2.480
-1.142,2.480
-1.102,2.480
-1.181,2.559
-1.220,2.598
-1.181,2.559
-1.102,2.480
-1.102,2.480
-1.181,2.559
-1.181,2.598
-1.181,2.598
-1.142,2.520
-1.102,2.480
-1.181,2.559
-1.181,2.598
-1.181,2.559
-1.142,2.520
-1.142,2.480
-1.181,2.520
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.102,2.480
-1.181,2.520
-1.220,2.598
-1.181,2.559
-1.142,2.480
-1.102,2.480
-1.142,2.559
-1.181,2.559
-1.181,2.559
-1.142,2.480
-1.102,2.480
-1.142,2.559
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.102,2.480
-1.142,2.598
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.102,2.480
-1.181,2.559
-1.181,2.559
-1.181,2.559
-1.142,2.480
-1.102,2.480
-1.142,2.480
-1.181,2.559
-1.181,2.559
-1.142,2.480
-1.142,2.480
-1.142,2.559
-1.181,2.598
-1.181,2.559
-1.142,2.520
-1.102,2.480
-1.142,2.559
-1.181,2.598
-1.220,2.559
-1.142,2.480
-1.142,2.480
-1.142,2.520
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.142,2.480
-1.142,2.559
-1.220,2.598
-1.181,2.559
-1.142,2.480
-1.102,2.480
-1.142,2.559
-1.181,2.559
-1.181,2.559
-1.142,2.520
-1.102,2.480
-1.142,2.559
-1.181,2.559
-1.220,2.559
-1.142,2.520
-1.102,2.480
-1.142,2.520
-1.181,2.598
-1.181,2.559
-1.142,2.480
-1.102,2.480
-1.142,2.520
-1.181,2.559
-1.181,2.559
-1.142,2.480
-1.142,2.480
-1.142,2.480
-1.181,2.559
-1.181,2.559
-1.142,2.480
-1.102,2.480
-1.142,2.480
-1.181,2.559
-1.181,2.559
-1.142,2.480
-1.102,2.480
-1.142,2.480
-1.181,2.559
-1.181,2.598
-1.142,2.480
-1.102,2.480
-1.142,2.559
-1.181,2.559
-1.181,2.598
-1.142,2.520
-1.102,2.480
-1.142,2.480
-1.181,2.598
-1.181,2.559
